"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:07:40";"Sim";"220628";"https://dadosabertos.camara.leg.br/api/v2/deputados/220628";"Mauricio do Vôlei";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/220628.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:07:06";"Não";"220550";"https://dadosabertos.camara.leg.br/api/v2/deputados/220550";"Mauricio Marcon";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/220550.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:03:09";"Sim";"204486";"https://dadosabertos.camara.leg.br/api/v2/deputados/204486";"Mauro Benevides Filho";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204486.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:03:51";"Sim";"220607";"https://dadosabertos.camara.leg.br/api/v2/deputados/220607";"Max Lemos";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220607.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:11:17";"Sim";"220591";"https://dadosabertos.camara.leg.br/api/v2/deputados/220591";"Meire Serafim";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"AC";"57";"https://www.camara.leg.br/internet/deputado/bandep/220591.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:08:07";"Sim";"74428";"https://dadosabertos.camara.leg.br/api/v2/deputados/74428";"Mendonça Filho";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"PE";"57";"https://www.camara.leg.br/internet/deputado/bandep/74428.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:05";"Sim";"188097";"https://dadosabertos.camara.leg.br/api/v2/deputados/188097";"Merlong Solano";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PI";"57";"https://www.camara.leg.br/internet/deputado/bandep/188097.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:09:25";"Sim";"220530";"https://dadosabertos.camara.leg.br/api/v2/deputados/220530";"Messias Donato";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"ES";"57";"https://www.camara.leg.br/internet/deputado/bandep/220530.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:11";"Sim";"171786";"https://dadosabertos.camara.leg.br/api/v2/deputados/171786";"Miguel Ângelo";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/171786.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:05";"Sim";"178997";"https://dadosabertos.camara.leg.br/api/v2/deputados/178997";"Moses Rodrigues";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/178997.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:12:43";"Sim";"220617";"https://dadosabertos.camara.leg.br/api/v2/deputados/220617";"Murillo Gouvea";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"RJ";"57";"https://www.camara.leg.br/internet/deputado/bandep/220617.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:01:40";"Sim";"220584";"https://dadosabertos.camara.leg.br/api/v2/deputados/220584";"Murilo Galdino";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"PB";"57";"https://www.camara.leg.br/internet/deputado/bandep/220584.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T18:59:27";"Sim";"204453";"https://dadosabertos.camara.leg.br/api/v2/deputados/204453";"Natália Bonavides";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RN";"57";"https://www.camara.leg.br/internet/deputado/bandep/204453.jpg"
"2351332-7";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2351332-7";"2023-03-14T19:00:53";"Sim";"220622";"https://dadosabertos.camara.leg.br/api/v2/deputados/220622";"Nely Aquino";"PODE";"https://dadosabertos.camara.leg.br/api/v2/partidos/36896";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/220622.jpg"
